Subject,Case,Value,CaseName
1,1,173.355264120562,PP-S+
2,1,189.785230577177,PP-S+
3,1,179.529798111957,PP-S+
4,1,158.374865229075,PP-S+
5,1,162.668360966468,PP-S+
6,1,170.027865056302,PP-S+
7,1,193.575937856586,PP-S+
8,1,161.056030227797,PP-S+
9,1,173.424930376805,PP-S+
10,1,159.256420642213,PP-S+
1,2,173.499620094104,AP-S+
2,2,189.811150464427,AP-S+
3,2,179.636824615972,AP-S+
4,2,158.484227179775,AP-S+
5,2,162.698376478528,AP-S+
6,2,170.087476453528,AP-S+
7,2,194.731650150395,AP-S+
8,2,161.123719948328,AP-S+
9,2,173.548937748825,AP-S+
10,2,159.520026754929,AP-S+
1,3,173.451343252532,UP-S+
2,3,189.825711617074,UP-S+
3,3,179.59266607512,UP-S+
4,3,158.477214751061,UP-S+
5,3,162.688267128795,UP-S+
6,3,170.075118030431,UP-S+
7,3,194.312572597434,UP-S+
8,3,161.060816210975,UP-S+
9,3,173.456888229474,UP-S+
10,3,159.351169313945,UP-S+
