Subject,Case,Value,CaseName
1,1,173.448350123653,PP-S+
2,1,189.705519996493,PP-S+
3,1,179.666984283042,PP-S+
4,1,158.481086610691,PP-S+
5,1,162.648665842249,PP-S+
6,1,170.032363743488,PP-S+
7,1,195.193371323449,PP-S+
8,1,161.078668713356,PP-S+
9,1,173.421170508083,PP-S+
10,1,159.431973155541,PP-S+
1,2,173.557401512118,AP-S+
2,2,189.85182302288,AP-S+
3,2,179.74203960075,AP-S+
4,2,158.531766429591,AP-S+
5,2,162.686714426314,AP-S+
6,2,170.18658312035,AP-S+
7,2,195.538094890963,AP-S+
8,2,161.131554738472,AP-S+
9,2,173.619967554831,AP-S+
10,2,159.633605173828,AP-S+
1,3,173.574779883323,UP-S+
2,3,189.845590803911,UP-S+
3,3,179.782946164522,UP-S+
4,3,158.451846407608,UP-S+
5,3,162.680946435101,UP-S+
6,3,170.134726068858,UP-S+
7,3,194.977485147907,UP-S+
8,3,161.078088117227,UP-S+
9,3,173.525760422723,UP-S+
10,3,159.602460652361,UP-S+
