Subject,Case,Value,CaseName
1,1,27.2203645410044,PP-S+
2,1,28.1612927345846,PP-S+
3,1,40.0629170147028,PP-S+
4,1,41.8456201763246,PP-S+
5,1,26.1676724952884,PP-S+
6,1,44.1488526820588,PP-S+
7,1,34.6237390073322,PP-S+
8,1,43.6153176363622,PP-S+
9,1,25.8036499988015,PP-S+
10,1,26.2781763711629,PP-S+
1,2,30.1130445726661,AP-S+
2,2,33.9560543963188,AP-S+
3,2,45.6583399566912,AP-S+
4,2,49.2370598603815,AP-S+
5,2,30.2879479953108,AP-S+
6,2,51.0123932353379,AP-S+
7,2,41.4334466180839,AP-S+
8,2,49.7521643599781,AP-S+
9,2,31.7615326157687,AP-S+
10,2,29.6014859636046,AP-S+
1,3,30.9001911722681,UP-S+
2,3,36.4178925759806,UP-S+
3,3,48.3145060042132,UP-S+
4,3,52.586994592522,UP-S+
5,3,31.9315581628507,UP-S+
6,3,54.9391823484919,UP-S+
7,3,44.4745179575442,UP-S+
8,3,52.1302592981375,UP-S+
9,3,34.4134730749742,UP-S+
10,3,30.4849384833336,UP-S+
