Subject,Case,Value,CaseName
1,1,180.945412042756,PP-S+
2,1,169.208216743157,PP-S+
3,1,198.463465003261,PP-S+
4,1,168.729318250525,PP-S+
5,1,186.177785001573,PP-S+
6,1,186.098829408864,PP-S+
7,1,175.600581846541,PP-S+
8,1,175.271684211587,PP-S+
9,1,160.541642958622,PP-S+
10,1,201.540820664739,PP-S+
11,1,189.266282744856,PP-S+
12,1,157.258961670261,PP-S+
13,1,150.926427058458,PP-S+
14,1,189.979847249845,PP-S+
15,1,159.916438452393,PP-S+
16,1,182.17002513098,PP-S+
17,1,194.601992625445,PP-S+
18,1,197.38655303538,PP-S+
19,1,177.623420656793,PP-S+
20,1,152.752072032377,PP-S+
1,2,180.9823032387,AP-S+
2,2,169.309479368118,AP-S+
3,2,198.511376340992,AP-S+
4,2,168.839264370306,AP-S+
5,2,186.260445082127,AP-S+
6,2,186.131703485463,AP-S+
7,2,175.614455536972,AP-S+
8,2,176.518583658033,AP-S+
9,2,160.567821919568,AP-S+
10,2,201.689087351277,AP-S+
11,2,189.331577813622,AP-S+
12,2,157.402878482171,AP-S+
13,2,150.965818043158,AP-S+
14,2,190.083930736237,AP-S+
15,2,160.056019655439,AP-S+
16,2,182.453831543481,AP-S+
17,2,194.842274607676,AP-S+
18,2,197.614693980489,AP-S+
19,2,177.712182387938,AP-S+
20,2,152.788671225886,AP-S+
1,3,181.00747314925,UP-S+
2,3,169.314016989745,UP-S+
3,3,198.525378120399,UP-S+
4,3,168.837724617076,UP-S+
5,3,186.238947618493,UP-S+
6,3,186.132477360461,UP-S+
7,3,175.617132493648,UP-S+
8,3,176.564922850831,UP-S+
9,3,160.594500383807,UP-S+
10,3,201.674879230852,UP-S+
11,3,189.377701014551,UP-S+
12,3,157.401404062742,UP-S+
13,3,150.968775292293,UP-S+
14,3,190.088668886944,UP-S+
15,3,160.048501643351,UP-S+
16,3,182.394978371654,UP-S+
17,3,194.888002171453,UP-S+
18,3,197.56424540857,UP-S+
19,3,177.719802312069,UP-S+
20,3,152.792109439585,UP-S+
