Subject,Case,Value,CaseName
1,1,165.009377042576,PP-S+
2,1,154.794466000925,PP-S+
3,1,163.730387157546,PP-S+
4,1,200.431757763748,PP-S+
5,1,184.988314670492,PP-S+
6,1,185.27439747691,PP-S+
7,1,199.204675004089,PP-S+
8,1,175.999853933053,PP-S+
9,1,167.213236098565,PP-S+
10,1,164.377875040257,PP-S+
1,2,164.806004861358,AP-S+
2,2,155.097064395362,AP-S+
3,2,163.81004290874,AP-S+
4,2,200.428958661025,AP-S+
5,2,185.045988527466,AP-S+
6,2,184.800344611511,AP-S+
7,2,198.986496679127,AP-S+
8,2,176.308539995469,AP-S+
9,2,167.255778913057,AP-S+
10,2,164.889481334871,AP-S+
1,3,0,UP-S+
2,3,155.024550879151,UP-S+
3,3,163.781398076838,UP-S+
4,3,200.537906556048,UP-S+
5,3,185.073255300993,UP-S+
6,3,185.221808727106,UP-S+
7,3,198.86243039776,UP-S+
8,3,176.444576038329,UP-S+
9,3,167.192704042068,UP-S+
10,3,164.823774086936,UP-S+
