Subject,Case,Value,CaseName
1,1,86.25,PP-S+
2,1,99.1666666666667,PP-S+
3,1,94.5833333333333,PP-S+
4,1,100,PP-S+
5,1,89.5833333333333,PP-S+
6,1,87.5,PP-S+
7,1,95.8333333333333,PP-S+
8,1,97.9166666666667,PP-S+
9,1,92.0833333333333,PP-S+
10,1,78.3333333333333,PP-S+
1,2,85.8333333333333,AP-S+
2,2,99.5833333333333,AP-S+
3,2,95.4166666666667,AP-S+
4,2,100,AP-S+
5,2,91.25,AP-S+
6,2,87.5,AP-S+
7,2,97.5,AP-S+
8,2,98.3333333333333,AP-S+
9,2,88.3333333333333,AP-S+
10,2,79.5833333333333,AP-S+
1,3,88.75,UP-S+
2,3,99.5833333333333,UP-S+
3,3,92.9166666666667,UP-S+
4,3,99.5833333333333,UP-S+
5,3,90,UP-S+
6,3,89.5833333333333,UP-S+
7,3,94.5833333333333,UP-S+
8,3,97.9166666666667,UP-S+
9,3,89.5833333333333,UP-S+
10,3,80,UP-S+
