Subject,Case,Value,CaseName
1,1,85.4166666666667,PP-S+
2,1,76.25,PP-S+
3,1,76.6666666666667,PP-S+
4,1,82.0833333333333,PP-S+
5,1,65.8333333333333,PP-S+
6,1,84.5833333333333,PP-S+
7,1,92.9166666666667,PP-S+
8,1,74.1666666666667,PP-S+
9,1,74.1666666666667,PP-S+
10,1,86.25,PP-S+
1,2,64.5833333333333,AP-S+
2,2,60,AP-S+
3,2,60.8333333333333,AP-S+
4,2,59.1666666666667,AP-S+
5,2,62.0833333333333,AP-S+
6,2,62.5,AP-S+
7,2,68.75,AP-S+
8,2,63.3333333333333,AP-S+
9,2,65,AP-S+
10,2,65.8333333333333,AP-S+
1,3,70.4166666666667,UP-S+
2,3,69.1666666666667,UP-S+
3,3,70,UP-S+
4,3,68.75,UP-S+
5,3,68.75,UP-S+
6,3,65.4166666666667,UP-S+
7,3,80,UP-S+
8,3,66.25,UP-S+
9,3,71.25,UP-S+
10,3,67.9166666666667,UP-S+
