Subject,Case,Value,CaseName
1,1,0,PP-S+
2,1,0,PP-S+
3,1,0,PP-S+
4,1,202.813365047517,PP-S+
5,1,232.3510134683,PP-S+
6,1,0,PP-S+
7,1,179.485342360153,PP-S+
8,1,208.780649363433,PP-S+
9,1,195.210570947164,PP-S+
10,1,215.667905376964,PP-S+
1,2,0,AP-S+
2,2,177.676077176604,AP-S+
3,2,185.001860160144,AP-S+
4,2,195.60599749836,AP-S+
5,2,0,AP-S+
6,2,0,AP-S+
7,2,0,AP-S+
8,2,208.087472244833,AP-S+
9,2,0,AP-S+
10,2,0,AP-S+
1,3,0,UP-S+
2,3,0,UP-S+
3,3,182.912583361902,UP-S+
4,3,196.734415187445,UP-S+
5,3,0,UP-S+
6,3,0,UP-S+
7,3,180.03479950422,UP-S+
8,3,207.668423643041,UP-S+
9,3,0,UP-S+
10,3,211.232273683853,UP-S+
