Subject,Case,Value,CaseName
1,1,173.946051328822,PP-S+
2,1,190.865010277607,PP-S+
3,1,180.793241265446,PP-S+
4,1,182.427310724102,PP-S+
5,1,171.807153570951,PP-S+
6,1,159.186039428881,PP-S+
7,1,179.613859921725,PP-S+
8,1,157.820372890303,PP-S+
9,1,168.121782552598,PP-S+
10,1,160.952458923885,PP-S+
1,2,173.978735940316,AP-S+
2,2,190.901361438771,AP-S+
3,2,180.812680007541,AP-S+
4,2,182.534673840468,AP-S+
5,2,171.844502191408,AP-S+
6,2,159.210062556205,AP-S+
7,2,179.625502615856,AP-S+
8,2,158.023434707315,AP-S+
9,2,168.194154133114,AP-S+
10,2,161.000763259091,AP-S+
1,3,173.970954263034,UP-S+
2,3,190.882872972478,UP-S+
3,3,180.810751143526,UP-S+
4,3,182.477903875982,UP-S+
5,3,171.80407494364,UP-S+
6,3,159.178219995838,UP-S+
7,3,179.603814795057,UP-S+
8,3,157.899727812012,UP-S+
9,3,168.147861122677,UP-S+
10,3,160.960396322225,UP-S+
