Subject,Case,Value,CaseName
1,1,171.555030281718,PP-S+
2,1,191.98763727985,PP-S+
3,1,197.89101710175,PP-S+
4,1,162.821109977087,PP-S+
5,1,182.785947384826,PP-S+
6,1,166.885120453059,PP-S+
7,1,198.520967828133,PP-S+
8,1,177.945554548764,PP-S+
9,1,183.459493573959,PP-S+
10,1,174.552069114846,PP-S+
1,2,172.003311702619,AP-S+
2,2,192.209849724379,AP-S+
3,2,198.020615918512,AP-S+
4,2,162.825653602477,AP-S+
5,2,182.755729445494,AP-S+
6,2,167.037050294601,AP-S+
7,2,198.622308028713,AP-S+
8,2,177.896935346239,AP-S+
9,2,183.650138440387,AP-S+
10,2,174.754556394018,AP-S+
1,3,171.762323845013,UP-S+
2,3,192.035140850393,UP-S+
3,3,198.110619862677,UP-S+
4,3,162.821347809686,UP-S+
5,3,182.820083576293,UP-S+
6,3,167.007215316887,UP-S+
7,3,198.352128305205,UP-S+
8,3,177.844778268297,UP-S+
9,3,183.555038843851,UP-S+
10,3,174.807872924036,UP-S+
