Subject,Case,Value,CaseName
1,1,210.01127314911,PP-S+
2,1,208.730595607054,PP-S+
3,1,178.07631189338,PP-S+
4,1,227.170780782479,PP-S+
5,1,210.144891984142,PP-S+
6,1,179.04805566629,PP-S+
7,1,199.674692487586,PP-S+
8,1,229.361177460182,PP-S+
9,1,212.882434334441,PP-S+
10,1,202.564601662241,PP-S+
1,2,215.776474830097,AP-S+
2,2,209.865681903677,AP-S+
3,2,174.588899218552,AP-S+
4,2,232.971331283275,AP-S+
5,2,198.866242507394,AP-S+
6,2,175.857402037129,AP-S+
7,2,192.888888414734,AP-S+
8,2,227.537439046476,AP-S+
9,2,218.316617513312,AP-S+
10,2,195.089873252199,AP-S+
1,3,216.655706481166,UP-S+
2,3,212.017238481002,UP-S+
3,3,174.221235080849,UP-S+
4,3,232.565737893615,UP-S+
5,3,200.38370332871,UP-S+
6,3,175.868072981692,UP-S+
7,3,193.56920387097,UP-S+
8,3,228.818734499949,UP-S+
9,3,218.917088486779,UP-S+
10,3,192.597039981684,UP-S+
