Subject,Case,Value,CaseName
1,1,173.949791251241,PP-S+
2,1,190.873417736514,PP-S+
3,1,180.84503484737,PP-S+
4,1,182.46336263306,PP-S+
5,1,171.794816239468,PP-S+
6,1,159.153154099064,PP-S+
7,1,179.645181752718,PP-S+
8,1,158.425818900586,PP-S+
9,1,168.409197204236,PP-S+
10,1,161.464277986301,PP-S+
1,2,173.995616030221,AP-S+
2,2,190.909341451293,AP-S+
3,2,180.835167278921,AP-S+
4,2,182.592493074576,AP-S+
5,2,171.798532578029,AP-S+
6,2,159.196916925433,AP-S+
7,2,179.668745076763,AP-S+
8,2,158.178962158061,AP-S+
9,2,168.289758853606,AP-S+
10,2,161.056221329699,AP-S+
1,3,173.961133975794,UP-S+
2,3,190.908958360771,UP-S+
3,3,180.768954204233,UP-S+
4,3,182.420502285023,UP-S+
5,3,171.824984917829,UP-S+
6,3,159.200077301861,UP-S+
7,3,179.614269868252,UP-S+
8,3,157.851071834327,UP-S+
9,3,168.05636809716,UP-S+
10,3,161.406619862585,UP-S+
