Subject,Case,Value,CaseName
1,1,82.5,PP-S+
2,1,96.25,PP-S+
3,1,93.75,PP-S+
4,1,88.75,PP-S+
5,1,90,PP-S+
6,1,84.1666666666667,PP-S+
7,1,95,PP-S+
8,1,95.4166666666667,PP-S+
9,1,95.4166666666667,PP-S+
10,1,88.3333333333333,PP-S+
1,2,77.9166666666667,AP-S+
2,2,96.25,AP-S+
3,2,92.9166666666667,AP-S+
4,2,88.3333333333333,AP-S+
5,2,93.3333333333333,AP-S+
6,2,88.75,AP-S+
7,2,97.9166666666667,AP-S+
8,2,97.5,AP-S+
9,2,94.1666666666667,AP-S+
10,2,82.5,AP-S+
1,3,85,UP-S+
2,3,97.9166666666667,UP-S+
3,3,94.5833333333333,UP-S+
4,3,90.4166666666667,UP-S+
5,3,91.25,UP-S+
6,3,87.5,UP-S+
7,3,97.9166666666667,UP-S+
8,3,97.5,UP-S+
9,3,98.75,UP-S+
10,3,84.5833333333333,UP-S+
