Subject,Case,Value,CaseName
1,1,159.848544924803,PP-S+
2,1,181.480517924065,PP-S+
3,1,198.560750370757,PP-S+
4,1,157.031605005171,PP-S+
5,1,155.336326583383,PP-S+
6,1,157.80677103158,PP-S+
7,1,166.825697139994,PP-S+
8,1,183.540282207344,PP-S+
9,1,163.473732803656,PP-S+
10,1,182.073007861557,PP-S+
1,2,159.87624429868,AP-S+
2,2,181.155719535657,AP-S+
3,2,198.502166852728,AP-S+
4,2,157.119957229384,AP-S+
5,2,155.038045156009,AP-S+
6,2,157.84192691187,AP-S+
7,2,165.950917622007,AP-S+
8,2,183.305806724495,AP-S+
9,2,163.435045138337,AP-S+
10,2,182.05928465401,AP-S+
1,3,159.868058891401,UP-S+
2,3,181.510925077677,UP-S+
3,3,198.3391726127,UP-S+
4,3,157.077105976836,UP-S+
5,3,155.011236679623,UP-S+
6,3,157.776267186637,UP-S+
7,3,165.989238358248,UP-S+
8,3,183.103772025026,UP-S+
9,3,163.22976474247,UP-S+
10,3,182.022087347898,UP-S+
