Subject,Case,Value,CaseName
1,1,81.25,PP-S+
2,1,89.1666666666667,PP-S+
3,1,86.6666666666667,PP-S+
4,1,92.0833333333333,PP-S+
5,1,92.5,PP-S+
6,1,82.5,PP-S+
7,1,90.4166666666667,PP-S+
8,1,95,PP-S+
9,1,95,PP-S+
10,1,96.25,PP-S+
1,2,81.25,AP-S+
2,2,90.8333333333333,AP-S+
3,2,80.4166666666667,AP-S+
4,2,89.1666666666667,AP-S+
5,2,91.25,AP-S+
6,2,77.0833333333333,AP-S+
7,2,86.6666666666667,AP-S+
8,2,96.6666666666667,AP-S+
9,2,95.8333333333333,AP-S+
10,2,97.5,AP-S+
1,3,81.6666666666667,UP-S+
2,3,86.6666666666667,UP-S+
3,3,85.4166666666667,UP-S+
4,3,91.6666666666667,UP-S+
5,3,86.25,UP-S+
6,3,80,UP-S+
7,3,91.6666666666667,UP-S+
8,3,97.0833333333333,UP-S+
9,3,94.1666666666667,UP-S+
10,3,97.5,UP-S+
