Subject,Case,Value,CaseName
1,1,170.750443745163,PP-S+
2,1,164.845925383523,PP-S+
3,1,180.464559922365,PP-S+
4,1,182.032415293284,PP-S+
5,1,202.704609701929,PP-S+
6,1,181.906962352454,PP-S+
7,1,183.98334171492,PP-S+
8,1,189.678906418607,PP-S+
9,1,173.153286589171,PP-S+
10,1,179.690422060476,PP-S+
1,2,170.764079149875,AP-S+
2,2,164.8718426717,AP-S+
3,2,180.435468435352,AP-S+
4,2,182.189372334318,AP-S+
5,2,202.747861604817,AP-S+
6,2,181.842538094452,AP-S+
7,2,183.964051715758,AP-S+
8,2,189.815180527215,AP-S+
9,2,173.416303197223,AP-S+
10,2,179.658968685552,AP-S+
1,3,170.755926499882,UP-S+
2,3,164.889441441348,UP-S+
3,3,180.499188344721,UP-S+
4,3,182.150328311386,UP-S+
5,3,202.823965525512,UP-S+
6,3,181.952880113942,UP-S+
7,3,183.955931362844,UP-S+
8,3,189.770467800677,UP-S+
9,3,173.461278909648,UP-S+
10,3,179.68146069488,UP-S+
