Subject,Case,Value,CaseName
1,1,1.63212350982066,PP-S+
2,1,1.66850733242639,PP-S+
3,1,1.67004558441835,PP-S+
4,1,1.68613722599467,PP-S+
5,1,1.68315567909623,PP-S+
6,1,1.66067513337872,PP-S+
7,1,1.63743399200836,PP-S+
8,1,1.64772966885797,PP-S+
9,1,1.67209830213554,PP-S+
10,1,1.66548468219491,PP-S+
11,1,1.6764416719797,PP-S+
12,1,1.67509696469649,PP-S+
13,1,1.66705747481629,PP-S+
14,1,1.67300857177055,PP-S+
15,1,1.64520615273747,PP-S+
16,1,1.6930145183314,PP-S+
17,1,1.68797738736244,PP-S+
18,1,1.66212709572011,PP-S+
19,1,1.66824781914433,PP-S+
20,1,1.67382100106209,PP-S+
1,2,1.41405300514295,AP-S+
2,2,1.61806728750724,AP-S+
3,2,1.60742737547327,AP-S+
4,2,1.68418694518559,AP-S+
5,2,1.66900174716067,AP-S+
6,2,1.52763201063023,AP-S+
7,2,1.41187043513116,AP-S+
8,2,1.47391773087786,AP-S+
9,2,1.6096061892109,AP-S+
10,2,1.56464696123381,AP-S+
11,2,1.63711286198345,AP-S+
12,2,1.5953913946821,AP-S+
13,2,1.58762679861492,AP-S+
14,2,1.56325789892065,AP-S+
15,2,1.44130808677107,AP-S+
16,2,1.69806614465813,AP-S+
17,2,1.69606905720976,AP-S+
18,2,1.52030316829951,AP-S+
19,2,1.58239380991876,AP-S+
20,2,1.60545885805872,AP-S+
1,3,1.40871175583156,UP-S+
2,3,1.60590338975343,UP-S+
3,3,1.59807727854271,UP-S+
4,3,1.68204209384004,UP-S+
5,3,1.66223014054612,UP-S+
6,3,1.51643919119103,UP-S+
7,3,1.39899598120419,UP-S+
8,3,1.46285969123352,UP-S+
9,3,1.60860827960732,UP-S+
10,3,1.55934256770837,UP-S+
11,3,1.63254887947381,UP-S+
12,3,1.58922744034661,UP-S+
13,3,1.57668623220767,UP-S+
14,3,1.55500280714904,UP-S+
15,3,1.439932874657,UP-S+
16,3,1.69567420943783,UP-S+
17,3,1.69240093141476,UP-S+
18,3,1.50980576199993,UP-S+
19,3,1.57085120229851,UP-S+
20,3,1.60277552881507,UP-S+
