Subject,Case,Value,CaseName
1,1,159.868414680291,PP-S+
2,1,181.258004931151,PP-S+
3,1,198.334357204722,PP-S+
4,1,157.012129604382,PP-S+
5,1,155.045007227803,PP-S+
6,1,157.818955011255,PP-S+
7,1,165.618773166381,PP-S+
8,1,183.21091734056,PP-S+
9,1,163.21803686294,PP-S+
10,1,182.023231073834,PP-S+
1,2,159.873234750479,AP-S+
2,2,181.360779032714,AP-S+
3,2,198.412168859476,AP-S+
4,2,157.030334784583,AP-S+
5,2,155.125133286557,AP-S+
6,2,157.800421106884,AP-S+
7,2,165.75947350278,AP-S+
8,2,183.271215925858,AP-S+
9,2,163.299389330356,AP-S+
10,2,182.020746929216,AP-S+
1,3,159.839451074188,UP-S+
2,3,181.26377664582,UP-S+
3,3,198.362249122846,UP-S+
4,3,156.989589096209,UP-S+
5,3,155.055552695548,UP-S+
6,3,157.792543723568,UP-S+
7,3,165.638079495466,UP-S+
8,3,183.184399687002,UP-S+
9,3,163.167495176702,UP-S+
10,3,182.020024612835,UP-S+
