Subject,Case,Value,CaseName
1,1,156.302259188663,PP-S+
2,1,203.034456303284,PP-S+
3,1,175.615914551832,PP-S+
4,1,162.5981546795,PP-S+
5,1,171.009401630289,PP-S+
6,1,156.953678114641,PP-S+
7,1,191.394516242297,PP-S+
8,1,172.625029940724,PP-S+
9,1,194.512036305521,PP-S+
10,1,167.996842422837,PP-S+
1,2,158.170042891704,AP-S+
2,2,203.509984153211,AP-S+
3,2,177.136802088166,AP-S+
4,2,164.108976714215,AP-S+
5,2,171.124590862022,AP-S+
6,2,157.441912327792,AP-S+
7,2,192.019200630146,AP-S+
8,2,173.407215983176,AP-S+
9,2,194.553078095548,AP-S+
10,2,168.297889065665,AP-S+
1,3,158.522835846134,UP-S+
2,3,203.747909384783,UP-S+
3,3,177.327880150522,UP-S+
4,3,164.044838694202,UP-S+
5,3,171.342584594694,UP-S+
6,3,157.673524180216,UP-S+
7,3,192.159212036845,UP-S+
8,3,173.500976809884,UP-S+
9,3,194.727124622023,UP-S+
10,3,168.446276741922,UP-S+
