Subject,Case,Value,CaseName
1,1,203.525314968423,PP-S+
2,1,183.922183353068,PP-S+
3,1,197.325067866404,PP-S+
4,1,200.587203721391,PP-S+
5,1,222.680662163379,PP-S+
6,1,225.342233874379,PP-S+
7,1,202.768515605082,PP-S+
8,1,201.639656442113,PP-S+
9,1,229.363510717333,PP-S+
10,1,177.530810227661,PP-S+
11,1,210.676523071188,PP-S+
12,1,180.892622258415,PP-S+
13,1,230.722726734685,PP-S+
14,1,203.124728881092,PP-S+
15,1,225.373320851038,PP-S+
16,1,217.575035636824,PP-S+
17,1,217.269996600963,PP-S+
18,1,193.43723521935,PP-S+
19,1,220.158680410981,PP-S+
20,1,213.40024692368,PP-S+
1,2,214.6728705355,AP-S+
2,2,192.798116683201,AP-S+
3,2,206.268032630188,AP-S+
4,2,211.829845294618,AP-S+
5,2,231.152757391014,AP-S+
6,2,235.963897174505,AP-S+
7,2,215.673844941333,AP-S+
8,2,212.365695569029,AP-S+
9,2,240.453147308292,AP-S+
10,2,186.95185191128,AP-S+
11,2,219.408164612701,AP-S+
12,2,190.336394869046,AP-S+
13,2,241.158495128743,AP-S+
14,2,213.261923455123,AP-S+
15,2,236.411098036536,AP-S+
16,2,228.838898462279,AP-S+
17,2,227.390132242208,AP-S+
18,2,204.369716834986,AP-S+
19,2,228.798686774818,AP-S+
20,2,223.034925299968,AP-S+
1,3,217.721740836406,UP-S+
2,3,195.524999740094,UP-S+
3,3,209.387671511431,UP-S+
4,3,214.633193837153,UP-S+
5,3,233.23628997225,UP-S+
6,3,239.463591553793,UP-S+
7,3,219.599433910202,UP-S+
8,3,215.73279397544,UP-S+
9,3,243.33930874752,UP-S+
10,3,189.795903929383,UP-S+
11,3,221.638704389175,UP-S+
12,3,193.05871934188,UP-S+
13,3,244.194398417454,UP-S+
14,3,215.993352975363,UP-S+
15,3,239.580947825987,UP-S+
16,3,231.729433925085,UP-S+
17,3,230.480314387349,UP-S+
18,3,208.399454923651,UP-S+
19,3,231.267332472606,UP-S+
20,3,225.848563215825,UP-S+
