Subject,Case,Value,CaseName
1,1,206.385794686551,PP-S+
2,1,184.601710017813,PP-S+
3,1,195.077137781764,PP-S+
4,1,200.521624380383,PP-S+
5,1,223.48026337962,PP-S+
6,1,227.843706174467,PP-S+
7,1,211.34069581042,PP-S+
8,1,202.237396396941,PP-S+
9,1,230.080013037051,PP-S+
10,1,180.412030927822,PP-S+
11,1,210.213373673,PP-S+
12,1,179.507958003366,PP-S+
13,1,229.305489168397,PP-S+
14,1,206.935391325789,PP-S+
15,1,225.891495390531,PP-S+
16,1,220.500330493975,PP-S+
17,1,215.587415733885,PP-S+
18,1,193.1332372277,PP-S+
19,1,221.768265079502,PP-S+
20,1,214.766971010745,PP-S+
1,2,219.22858636974,AP-S+
2,2,193.476020946287,AP-S+
3,2,208.541907168347,AP-S+
4,2,211.902018286776,AP-S+
5,2,231.325494536597,AP-S+
6,2,236.683001294059,AP-S+
7,2,220.681687394936,AP-S+
8,2,215.570722508336,AP-S+
9,2,241.367097830193,AP-S+
10,2,189.027363800232,AP-S+
11,2,219.030969333039,AP-S+
12,2,192.382389481504,AP-S+
13,2,244.397745426138,AP-S+
14,2,214.982026619706,AP-S+
15,2,241.293783909746,AP-S+
16,2,229.313046527179,AP-S+
17,2,228.348953394756,AP-S+
18,2,208.167657822557,AP-S+
19,2,230.196876140541,AP-S+
20,2,223.717294447295,AP-S+
1,3,226.723616281541,UP-S+
2,3,195.25892405619,UP-S+
3,3,210.049242882966,UP-S+
4,3,216.465929573303,UP-S+
5,3,235.385328550387,UP-S+
6,3,238.129055816818,UP-S+
7,3,223.772840834127,UP-S+
8,3,219.548028209275,UP-S+
9,3,245.522440824835,UP-S+
10,3,191.959748699518,UP-S+
11,3,223.425851136909,UP-S+
12,3,197.105244883756,UP-S+
13,3,249.578290504211,UP-S+
14,3,220.208472973148,UP-S+
15,3,246.317610219407,UP-S+
16,3,232.367575778694,UP-S+
17,3,229.050403742233,UP-S+
18,3,209.715889616098,UP-S+
19,3,233.72193458588,UP-S+
20,3,226.681390429204,UP-S+
