Subject,Case,Value,CaseName
1,1,197.857450100771,PP-S+
2,1,169.36854096037,PP-S+
3,1,151.650902080232,PP-S+
4,1,199.836402461841,PP-S+
5,1,182.138265238784,PP-S+
6,1,171.043149366992,PP-S+
7,1,167.798700035978,PP-S+
8,1,161.229088136546,PP-S+
9,1,181.403581117478,PP-S+
10,1,158.634991017087,PP-S+
11,1,191.26337877237,PP-S+
12,1,191.348922677927,PP-S+
13,1,176.222261310024,PP-S+
14,1,196.857652786603,PP-S+
15,1,178.069987626976,PP-S+
16,1,184.552925607323,PP-S+
17,1,155.138396064709,PP-S+
18,1,168.981371043086,PP-S+
19,1,194.80484435389,PP-S+
20,1,181.967118869845,PP-S+
1,2,198.344281498172,AP-S+
2,2,169.938274389997,AP-S+
3,2,151.676925808642,AP-S+
4,2,200.111112894322,AP-S+
5,2,182.463452733431,AP-S+
6,2,171.480030913741,AP-S+
7,2,167.982266468737,AP-S+
8,2,161.495931567437,AP-S+
9,2,181.705255986833,AP-S+
10,2,158.776195814893,AP-S+
11,2,191.512556158241,AP-S+
12,2,191.533794848318,AP-S+
13,2,176.393657978905,AP-S+
14,2,197.024968439259,AP-S+
15,2,178.235188125427,AP-S+
16,2,184.895095520577,AP-S+
17,2,155.251099054188,AP-S+
18,2,169.187114024995,AP-S+
19,2,194.886906066903,AP-S+
20,2,181.985677382935,AP-S+
1,3,198.125446355476,UP-S+
2,3,169.675103901382,UP-S+
3,3,151.668013644209,UP-S+
4,3,200.114999261067,UP-S+
5,3,182.360415683375,UP-S+
6,3,171.469066420801,UP-S+
7,3,167.919604449941,UP-S+
8,3,161.362834497188,UP-S+
9,3,181.485174632995,UP-S+
10,3,158.74759426935,UP-S+
11,3,191.504516486602,UP-S+
12,3,191.477142923442,UP-S+
13,3,176.340108056657,UP-S+
14,3,196.962163924136,UP-S+
15,3,178.191385422988,UP-S+
16,3,184.871579230838,UP-S+
17,3,155.289480809515,UP-S+
18,3,169.153503602215,UP-S+
19,3,194.856898657231,UP-S+
20,3,181.981891558951,UP-S+
