Subject,Case,Value,CaseName
1,1,226.203283801162,PP-S+
2,1,186.353589722443,PP-S+
3,1,185.649193449508,PP-S+
4,1,212.896861317113,PP-S+
5,1,202.504633813959,PP-S+
6,1,199.097171707389,PP-S+
7,1,182.009950488746,PP-S+
8,1,227.72014832174,PP-S+
9,1,201.326719497431,PP-S+
10,1,210.545832133472,PP-S+
11,1,193.749006304642,PP-S+
12,1,232.665335025582,PP-S+
13,1,181.669118303349,PP-S+
14,1,181.910926280723,PP-S+
15,1,193.477880588067,PP-S+
16,1,212.021226093785,PP-S+
17,1,223.132408052653,PP-S+
18,1,205.222189884063,PP-S+
19,1,196.864675097887,PP-S+
20,1,185.99627040293,PP-S+
1,2,235.214126528218,AP-S+
2,2,200.46780719492,AP-S+
3,2,198.113345865153,AP-S+
4,2,219.896755019028,AP-S+
5,2,215.301090972947,AP-S+
6,2,209.177514807891,AP-S+
7,2,189.443323065435,AP-S+
8,2,234.63784002999,AP-S+
9,2,211.971811336709,AP-S+
10,2,224.3649075404,AP-S+
11,2,202.853925942857,AP-S+
12,2,243.686273492222,AP-S+
13,2,191.377640123292,AP-S+
14,2,193.886025278023,AP-S+
15,2,202.867606541543,AP-S+
16,2,223.855436044227,AP-S+
17,2,238.210218679168,AP-S+
18,2,214.832096433777,AP-S+
19,2,211.220689033161,AP-S+
20,2,192.579328965915,AP-S+
1,3,236.278637870642,UP-S+
2,3,205.941361250316,UP-S+
3,3,206.692122703494,UP-S+
4,3,223.876723702826,UP-S+
5,3,217.538109157404,UP-S+
6,3,214.008805447791,UP-S+
7,3,192.390758315742,UP-S+
8,3,240.281297832134,UP-S+
9,3,213.974977515684,UP-S+
10,3,227.213998563527,UP-S+
11,3,208.615096116527,UP-S+
12,3,249.383215396919,UP-S+
13,3,195.133765575165,UP-S+
14,3,196.233578811159,UP-S+
15,3,205.823095836441,UP-S+
16,3,230.410510908372,UP-S+
17,3,244.655285690592,UP-S+
18,3,219.426651243129,UP-S+
19,3,213.179756420835,UP-S+
20,3,200.232959650909,UP-S+
