Subject,Case,Value,CaseName
1,1,172.881764800364,PP-S+
2,1,165.105882604907,PP-S+
3,1,171.878972707442,PP-S+
4,1,168.571792593062,PP-S+
5,1,191.661174604682,PP-S+
6,1,177.147661139336,PP-S+
7,1,187.291879663097,PP-S+
8,1,178.687115040504,PP-S+
9,1,185.084764159353,PP-S+
10,1,186.334640527346,PP-S+
1,2,172.838689342243,AP-S+
2,2,165.148366326375,AP-S+
3,2,172.02006207348,AP-S+
4,2,168.668514425985,AP-S+
5,2,191.643126023848,AP-S+
6,2,177.13749054872,AP-S+
7,2,187.288908004814,AP-S+
8,2,178.687946156865,AP-S+
9,2,185.251525084713,AP-S+
10,2,186.401641501547,AP-S+
1,3,173.007209794917,UP-S+
2,3,165.13895396962,UP-S+
3,3,171.932669696578,UP-S+
4,3,168.685902033453,UP-S+
5,3,191.571365141145,UP-S+
6,3,177.168511305073,UP-S+
7,3,187.270319200379,UP-S+
8,3,178.73930791041,UP-S+
9,3,185.012911324884,UP-S+
10,3,186.316723177538,UP-S+
