Subject,Case,Value,CaseName
1,1,99.1666666666667,PP-S+
2,1,97.9166666666667,PP-S+
3,1,98.3333333333333,PP-S+
4,1,96.25,PP-S+
5,1,83.3333333333333,PP-S+
6,1,94.1666666666667,PP-S+
7,1,95.8333333333333,PP-S+
8,1,98.75,PP-S+
9,1,92.9166666666667,PP-S+
10,1,99.1666666666667,PP-S+
1,2,99.5833333333333,AP-S+
2,2,97.9166666666667,AP-S+
3,2,95.8333333333333,AP-S+
4,2,95,AP-S+
5,2,81.6666666666667,AP-S+
6,2,97.0833333333333,AP-S+
7,2,96.6666666666667,AP-S+
8,2,99.1666666666667,AP-S+
9,2,87.5,AP-S+
10,2,99.5833333333333,AP-S+
1,3,100,UP-S+
2,3,97.9166666666667,UP-S+
3,3,95.8333333333333,UP-S+
4,3,96.25,UP-S+
5,3,85,UP-S+
6,3,97.5,UP-S+
7,3,97.0833333333333,UP-S+
8,3,98.3333333333333,UP-S+
9,3,88.3333333333333,UP-S+
10,3,99.5833333333333,UP-S+
