Subject,Case,Value,CaseName
1,1,1.67781146411799,PP-S+
2,1,1.64142418913398,PP-S+
3,1,1.6655349492072,PP-S+
4,1,1.65593950524766,PP-S+
5,1,1.66068970726638,PP-S+
6,1,1.67670775149074,PP-S+
7,1,1.68984606314962,PP-S+
8,1,1.66750359360507,PP-S+
9,1,1.65473910973988,PP-S+
10,1,1.65258350140365,PP-S+
11,1,1.68695949065612,PP-S+
12,1,1.64836664283668,PP-S+
13,1,1.68686247668742,PP-S+
14,1,1.66462212044156,PP-S+
15,1,1.69623357501261,PP-S+
16,1,1.65739183520153,PP-S+
17,1,1.64028335775044,PP-S+
18,1,1.65903981876355,PP-S+
19,1,1.63789689895833,PP-S+
20,1,1.6584690362971,PP-S+
1,2,1.60441534839313,AP-S+
2,2,1.42519049806455,AP-S+
3,2,1.54977275937025,AP-S+
4,2,1.51867523483321,AP-S+
5,2,1.51524326285594,AP-S+
6,2,1.61179172970389,AP-S+
7,2,1.67078351576955,AP-S+
8,2,1.57700057632834,AP-S+
9,2,1.45664325885574,AP-S+
10,2,1.46840796768295,AP-S+
11,2,1.63628766929778,AP-S+
12,2,1.46608962026026,AP-S+
13,2,1.69232444239777,AP-S+
14,2,1.53523046230511,AP-S+
15,2,1.68260904235396,AP-S+
16,2,1.49763000516745,AP-S+
17,2,1.38587525819141,AP-S+
18,2,1.54270744043827,AP-S+
19,2,1.37207092264393,AP-S+
20,2,1.52712602646035,AP-S+
1,3,1.59480304057335,UP-S+
2,3,1.42317525804282,UP-S+
3,3,1.54393109909279,UP-S+
4,3,1.51123694234624,UP-S+
5,3,1.50413554314937,UP-S+
6,3,1.60073928905835,UP-S+
7,3,1.66075969581209,UP-S+
8,3,1.56821288529406,UP-S+
9,3,1.45787605003673,UP-S+
10,3,1.46302623013506,UP-S+
11,3,1.62851572013742,UP-S+
12,3,1.45740303674274,UP-S+
13,3,1.68293091505186,UP-S+
14,3,1.5294463390777,UP-S+
15,3,1.66973700132785,UP-S+
16,3,1.50362393133021,UP-S+
17,3,1.39058290849217,UP-S+
18,3,1.5298763621685,UP-S+
19,3,1.38326865830755,UP-S+
20,3,1.51428055454122,UP-S+
